timestamp,rpm,temperature,vibration
446,693.85,85.63,3.56
447,688.72,84.81,3.07
448,729.01,84.93,3.25
449,717.8,84.96,3.06
450,724.55,86.49,2.87
451,704.03,83.65,4.48
452,703.19,84.74,3.12
453,703.6,83.88,3.01
454,689.24,84.1,3.57
455,709.77,84.92,3.21
456,716.66,85.42,2.58
457,722.85,86.19,2.73
458,714.78,86.24,4.76
459,711.51,85.42,4.06
460,694.84,86.62,3.82
461,714.32,87.52,3.83
462,696.43,85.06,3.59
463,694.83,86.96,2.97
464,688.37,84.73,4.25
465,702.17,84.68,4.0
466,694.46,86.34,3.38
467,686.71,83.46,3.54
468,694.61,85.83,3.65
469,725.34,87.18,3.17
470,691.91,85.83,3.57
471,694.41,86.06,2.89
472,687.79,86.57,3.05
473,695.43,84.83,3.2
474,701.86,84.02,4.11
475,688.34,85.48,3.61
476,725.25,85.45,3.66
477,687.98,84.41,3.1
478,685.48,84.07,2.97
479,713.92,86.75,3.38
480,704.81,84.01,4.03
481,673.8,85.17,3.62
482,706.1,86.3,3.59
483,711.47,85.1,4.05
484,690.76,84.46,2.95
485,694.05,85.63,2.79
486,705.86,85.97,2.41
487,706.16,87.19,3.81
488,710.15,84.43,4.64
489,706.55,87.84,2.79
490,709.86,87.6,4.12
491,724.62,86.2,3.68
492,735.93,83.77,3.82
493,702.8,86.5,3.46
494,690.08,84.94,3.46
495,711.15,86.48,3.88
496,690.29,88.02,3.24
497,702.43,84.41,4.15
498,697.88,86.37,4.06
499,713.89,85.23,3.61
500,707.92,83.64,3.36
501,684.65,85.77,4.29
502,701.92,84.37,3.55
503,703.25,85.8,3.73
504,680.14,85.71,4.19
505,678.13,85.09,3.48
506,704.12,85.41,3.96
507,695.68,85.23,2.77
508,716.11,86.29,3.9
509,704.15,84.33,4.01
510,698.36,86.16,3.34
511,721.8,85.9,2.57
512,719.57,84.71,4.06
513,709.42,86.61,4.83
514,680.36,84.42,3.57
515,716.95,86.15,3.58
516,690.1,84.78,3.41
517,689.6,84.49,4.08
518,705.05,83.73,3.42
519,710.69,86.0,2.3
520,694.22,85.15,3.35
521,703.04,84.23,3.45
522,701.71,86.03,4.12
523,696.99,87.27,3.29
524,702.91,84.21,3.57
525,715.15,84.91,3.19
526,700.8,84.46,3.54
527,708.56,85.39,3.17
528,706.02,85.54,3.33
529,734.01,86.56,3.51
530,698.18,84.81,4.46
531,712.34,86.12,4.61
532,697.52,83.23,3.49
533,702.18,85.61,4.34
534,703.35,84.96,3.55
535,691.11,86.13,3.19
536,680.16,85.7,3.93
537,705.84,86.44,3.87
538,714.26,86.03,3.22
539,702.68,83.09,3.71
540,679.59,85.7,4.11
541,717.72,87.08,3.25
542,714.2,86.91,3.39
543,697.96,85.67,3.49
544,681.04,85.47,3.17
545,707.06,86.63,3.39
546,708.27,86.64,3.71
547,682.75,85.81,3.48
548,697.03,86.6,3.57
549,725.01,85.59,3.63
550,696.24,86.13,3.49
551,715.52,85.08,3.49
552,711.84,86.04,3.29
553,695.45,84.35,4.63
554,702.84,83.8,3.54
555,724.87,85.69,3.07
556,701.95,83.95,2.28
557,674.26,84.11,3.02
558,719.67,85.59,3.58
559,688.23,87.63,3.01
560,684.15,85.47,3.67
561,716.94,86.14,3.77
562,678.8,83.83,4.03
563,685.4,85.4,3.38
564,725.42,86.06,3.43
565,709.27,85.13,3.6
566,684.09,84.82,4.07
567,697.75,86.5,3.44
568,727.41,85.17,3.78
569,695.72,85.83,4.19
570,694.13,84.59,4.16
571,722.35,83.8,3.19
572,703.22,84.57,4.07
573,713.93,84.57,3.99
574,682.02,84.79,2.87
575,700.67,84.25,3.11
576,675.84,86.58,3.39
577,691.7,86.78,3.61
578,689.14,83.67,3.0
579,693.22,84.56,3.39
580,713.73,85.49,3.78
581,697.25,86.4,3.08
582,691.08,85.26,3.35
583,685.95,86.28,3.76
584,691.76,86.57,2.82
585,675.83,85.34,3.26
586,696.94,85.53,3.91
587,697.21,85.18,3.29
588,678.33,87.58,3.47
589,679.5,85.15,3.55
590,716.36,83.79,3.54
591,699.81,86.31,3.56
592,682.56,85.77,3.63
593,724.94,84.88,2.53
594,692.03,85.37,4.27
595,683.44,88.04,2.77
596,695.15,85.34,3.77
597,681.69,86.96,3.99
598,712.99,84.65,2.83
599,706.43,86.76,3.54
600,689.91,86.68,3.78
601,720.22,84.21,2.93
602,700.62,83.62,3.62
603,685.26,87.74,2.78
604,676.72,84.87,3.52
605,713.21,84.95,3.58
606,688.72,86.5,3.42
607,731.47,84.92,3.87
608,687.81,86.0,2.99
609,693.0,86.39,3.89
610,695.73,85.16,2.56
611,687.04,84.99,3.41
612,696.22,85.71,3.3
613,698.07,86.71,3.3
614,711.3,86.17,3.21
615,697.37,85.15,3.46
616,693.86,84.61,3.1
617,703.19,86.15,3.2
618,692.69,86.96,3.14
619,697.7,86.42,2.73
620,704.24,85.11,3.57
621,720.18,85.79,2.43
622,709.25,85.85,3.34
623,694.25,86.02,4.17
624,698.03,86.06,3.34
625,679.94,84.32,2.63
626,713.72,85.98,2.41
627,690.59,84.56,4.04
628,687.97,86.2,3.66
629,705.3,85.22,3.1
630,700.31,84.22,3.93
631,729.63,86.47,3.74
632,687.74,85.4,3.55
633,726.72,86.93,3.95
634,688.74,85.19,4.32
635,703.29,86.5,3.64
636,701.38,86.49,3.91
637,717.85,85.76,3.68
638,710.78,86.63,4.25
639,699.43,85.5,3.87
640,687.47,86.28,3.49
641,697.14,83.71,3.56
642,704.82,85.51,3.56
643,716.88,83.75,3.59
644,704.27,84.98,3.81
645,693.6,85.09,3.54
646,700.56,86.28,3.03
647,697.11,84.67,3.7
648,667.29,84.91,3.71
649,701.71,85.46,2.99
650,656.55,87.56,4.71
651,685.35,87.13,3.12
652,698.42,85.21,3.24
653,682.28,83.12,4.0
654,690.57,85.17,3.58
655,707.36,84.98,4.08
656,701.34,85.18,3.33
657,691.9,86.1,3.57
658,693.81,87.65,2.66
659,718.24,86.09,2.49
660,735.33,88.83,3.44
661,728.95,85.63,3.62
662,715.85,83.63,3.38
663,733.24,86.71,4.42
664,690.28,85.53,4.61
665,707.46,86.28,3.51
666,714.56,85.2,3.09
667,710.32,85.77,3.44
668,725.55,85.92,3.99
669,687.15,85.93,4.95
670,707.52,85.96,2.84
671,690.46,84.74,2.32
672,692.33,85.67,3.54
673,705.27,86.06,3.52
674,704.78,86.03,3.12
675,718.87,85.06,3.9
676,711.13,85.41,3.97
677,690.91,84.93,2.99
678,724.71,84.46,3.07
679,684.37,84.86,4.21
680,703.03,85.43,3.42
681,680.14,84.77,3.5
682,703.08,85.23,2.72
683,726.42,83.76,2.64
684,709.14,85.22,2.98
685,703.28,85.49,3.99
686,709.98,83.24,3.4
687,715.13,85.55,2.74
688,705.94,84.13,3.18
689,704.65,85.9,3.26
690,678.34,84.85,4.25
691,707.98,84.88,3.45
692,693.21,87.65,4.0
693,670.65,84.63,3.71
694,721.87,85.6,3.75
695,710.94,84.45,3.67
696,682.69,83.63,2.86
697,691.47,85.47,3.64
698,710.57,84.65,3.39
699,706.86,85.49,3.67
700,712.28,87.0,2.95
701,680.93,84.84,4.7
702,675.24,85.08,2.77
703,708.08,84.7,3.05
704,688.33,84.11,3.56
705,692.54,85.18,3.17
706,697.14,86.63,3.82
707,706.27,84.25,3.74
708,705.94,84.89,3.78
709,689.6,86.71,3.84
710,688.45,83.07,3.85
711,723.6,83.09,3.86
712,684.82,87.98,3.82
713,703.78,84.89,3.22
714,688.76,85.55,4.15
715,691.86,83.81,3.72
716,679.34,84.72,3.62
717,708.82,86.2,3.91
718,690.26,84.78,3.66
719,687.29,84.82,2.24
720,716.52,84.81,3.6
721,689.81,86.86,4.47
722,695.73,87.47,3.58
723,706.94,86.42,3.83
724,720.63,88.02,3.54
725,676.82,86.35,4.17
726,693.06,87.0,2.86
727,730.6,86.71,4.03
728,678.82,85.63,3.61
729,692.36,85.56,4.28
730,698.62,84.07,2.52
731,721.34,86.81,3.95
732,716.83,85.77,3.22
733,690.65,86.02,3.33
734,697.48,85.04,3.91
735,711.31,85.52,2.79
736,684.71,86.05,3.37
737,702.57,89.23,3.18
738,695.15,86.4,3.97
739,691.11,86.19,2.7
740,692.79,84.99,3.84
741,686.95,86.15,3.57
742,726.41,85.46,3.63
743,688.08,85.28,3.64
744,692.04,85.49,2.95
745,689.22,84.58,3.1
746,701.77,86.58,3.44
747,702.2,85.42,3.12
748,701.92,85.59,3.96
749,695.77,83.8,3.93
750,697.95,87.19,3.45
751,716.82,86.92,3.66
752,698.17,84.07,3.27
753,688.9,84.04,3.26
754,712.34,84.89,2.26
755,676.88,85.25,4.19
756,709.98,83.82,3.6
757,707.63,85.95,4.27
758,682.34,83.25,3.82
759,713.92,84.03,3.6
760,681.24,84.1,4.15
761,698.77,85.89,3.41
762,726.94,87.28,3.7
763,732.2,87.29,3.42
764,696.28,85.39,3.57
765,705.89,87.17,3.21
766,714.79,83.42,3.34
767,675.0,85.01,2.62
768,706.52,87.5,2.93
769,712.26,85.6,3.36
770,686.71,85.01,2.64
771,709.21,83.76,3.23
772,704.05,85.63,3.27
773,704.12,85.99,2.98
774,703.47,87.14,3.57
775,718.23,84.47,4.09
776,708.45,85.08,3.08
777,701.34,86.15,3.2
778,704.58,84.2,4.44
779,704.0,83.96,3.54
780,675.74,84.66,3.83
781,677.78,85.77,4.13
782,694.53,86.75,2.94
783,688.89,85.26,3.39
784,696.8,84.66,3.83
785,711.35,86.28,3.05
786,676.62,86.23,3.45
787,692.31,84.75,3.9
788,691.96,84.64,4.23
789,702.58,84.1,3.47
790,712.35,86.22,2.97
791,680.15,86.4,2.85
792,719.84,86.17,2.5
793,701.44,83.81,4.09
794,703.43,83.86,3.54
795,713.29,85.51,3.22
796,714.77,84.41,3.42
797,687.24,85.31,3.47
798,667.37,86.16,3.77
799,689.15,86.27,3.86
800,680.87,86.05,3.94
801,696.4,84.27,3.42
802,689.28,83.8,3.92
803,689.54,85.19,3.9
804,679.79,85.66,3.24
805,712.09,86.83,3.02
806,694.19,82.8,2.78
807,685.57,85.19,3.89
808,680.11,86.63,2.58
809,704.22,84.5,2.79
810,704.22,85.73,4.37
811,710.04,85.82,3.85
812,686.67,87.32,3.25
813,696.19,86.6,2.66
814,706.17,85.43,2.68
815,673.83,86.59,3.09
816,716.97,85.36,3.19
817,680.82,86.09,3.11
818,671.76,86.75,3.53
819,708.72,84.47,3.89
820,711.1,85.96,3.53
821,689.38,86.23,3.8
822,720.38,85.95,4.53
823,726.5,84.23,2.56
824,699.16,84.03,2.63
825,715.19,86.42,3.65
826,718.91,84.93,4.44
827,704.0,85.3,3.59
828,692.52,87.04,3.46
829,711.86,85.74,3.41
830,689.31,83.67,3.76
831,678.84,84.91,2.85
832,679.81,86.58,3.56
833,715.51,85.13,3.3
834,711.22,85.87,3.42
835,741.92,84.72,3.41
836,686.06,85.45,4.13
837,695.15,86.28,3.42
838,700.62,85.73,2.93
839,703.28,85.37,3.78
840,720.01,84.65,3.4
841,707.12,85.72,3.41
842,686.17,85.51,4.29
843,704.2,85.13,3.56
844,704.86,86.01,2.56
845,695.66,85.64,3.2
846,714.97,85.74,3.78
847,706.97,86.57,3.71
848,695.53,85.57,4.84
849,715.96,85.62,3.62
850,703.85,87.63,3.68
851,704.36,86.35,2.82
852,702.86,86.53,2.03
853,710.98,87.88,3.45
854,687.34,84.8,4.16
855,722.64,83.38,4.0
856,711.77,84.64,3.87
857,693.63,84.38,3.23
858,695.69,86.1,3.23
859,727.88,85.23,4.28
860,691.46,85.1,3.13
861,696.31,86.64,2.94
862,704.41,85.34,3.61
863,699.07,83.93,3.41
864,682.0,85.48,3.05
865,688.97,86.44,3.09
866,724.48,84.35,4.63
867,706.63,86.71,3.39
868,723.26,86.27,3.46
869,696.79,84.07,2.36
870,687.88,86.86,3.56
871,689.45,85.06,3.77
872,668.25,85.7,3.45
873,685.71,84.04,3.54
874,698.73,86.16,3.78
875,700.53,83.87,4.02
876,677.55,86.89,3.08
877,689.22,85.05,3.86
878,709.93,84.01,3.47
879,718.35,84.85,3.82
880,698.2,87.23,3.64
881,700.78,84.81,3.34
882,694.81,86.24,4.01
883,685.85,85.4,2.96
884,689.93,85.8,3.34
885,698.38,84.22,3.63
886,681.49,84.62,4.09
887,715.45,85.18,2.95
888,679.53,84.95,4.53
889,682.63,86.56,2.94
890,682.81,83.59,3.21
891,694.51,84.28,4.19
892,677.4,86.04,3.25
893,672.56,85.66,3.52
894,713.69,83.97,2.92
895,693.49,85.24,4.1
896,697.87,86.25,2.77
897,695.33,84.3,4.37
898,661.95,85.27,3.06
899,672.84,86.07,4.13
900,685.26,84.97,3.67
901,692.26,86.81,3.24
902,722.27,86.03,3.36
903,697.13,86.22,4.52
904,669.36,86.24,3.39
905,711.75,86.3,3.12
906,691.12,86.85,2.93
907,707.45,86.24,4.33
908,680.3,84.94,2.95
909,690.32,83.17,3.5
910,706.35,85.2,2.87
911,669.58,85.55,3.75
912,690.83,86.59,3.52
913,709.91,84.12,4.2
914,688.99,86.15,3.38
915,715.33,86.02,4.27
916,690.98,86.36,3.27
917,715.98,85.05,4.19
918,684.38,86.74,3.63
919,692.79,86.19,3.73
920,682.24,85.36,2.9
921,709.35,83.95,3.55
922,711.36,85.71,4.04
923,705.56,84.45,2.94
924,714.14,84.85,3.44
925,702.51,85.36,3.1
926,707.71,85.6,3.73
927,708.69,84.44,4.15
928,705.27,82.84,3.14
929,693.47,85.4,3.57
930,693.82,83.46,3.77
931,699.06,86.03,3.12
932,687.5,85.58,4.4
933,682.48,83.05,4.14
934,720.93,86.42,2.93
935,701.55,85.85,3.37
936,700.72,85.54,3.89
937,704.65,85.65,2.88
938,680.49,86.72,2.45
939,706.96,85.23,3.74
940,698.72,84.74,3.11
941,681.9,86.13,3.55
942,685.15,85.99,3.58
943,704.22,85.61,3.92
944,704.3,85.99,3.04
945,701.04,85.93,3.29
946,676.79,88.32,3.07
947,663.76,85.64,3.31
948,707.74,84.51,3.23
949,736.33,86.56,3.89
950,687.3,83.61,3.93
951,679.87,84.92,3.42
952,678.67,88.05,3.93
953,700.7,86.4,3.23
954,670.97,86.83,3.0
955,678.57,83.88,3.09
956,719.91,85.62,3.58
957,705.98,86.27,3.89
958,723.88,84.65,3.4
959,683.41,86.06,3.03
960,700.12,86.99,3.77
961,683.55,84.79,3.54
962,701.06,85.95,3.58
963,734.65,86.97,3.61
964,708.58,83.14,4.36
965,693.31,84.33,3.62
966,710.58,84.08,4.22
967,689.96,85.19,4.22
968,704.85,84.82,2.8
969,725.87,83.89,3.7
970,729.35,83.83,4.28
971,706.18,83.97,2.98
972,701.18,84.84,3.81
973,717.87,85.6,3.21
974,672.42,86.89,4.23
975,694.23,86.24,3.59
976,674.04,87.16,3.16
977,691.24,84.21,3.02
978,714.6,86.83,3.7
979,712.14,85.18,3.64
980,693.69,86.37,3.02
981,683.72,86.63,3.06
982,710.41,86.61,3.81
983,670.12,85.2,3.05
984,696.1,86.75,3.15
985,677.27,85.84,4.18
986,688.92,84.36,3.52
987,722.98,87.02,2.25
988,691.68,85.29,3.27
989,699.07,86.57,4.1
990,688.15,84.71,3.95
991,685.39,85.5,3.45
992,713.14,87.13,3.46
993,712.62,86.45,2.49
994,712.6,85.15,3.37
995,693.1,86.09,2.91
996,712.16,85.46,4.81
